Rezept;Kategorie;Schwierigkeit;Zeit_min;Haupttechnik;Hinweis;Portionen;Zutat_01;Menge_01;Einheit_01;Zutat_02;Menge_02;Einheit_02;Zutat_03;Menge_03;Einheit_03;Zutat_04;Menge_04;Einheit_04;Zutat_05;Menge_05;Einheit_05;Zutat_06;Menge_06;Einheit_06;Zutat_07;Menge_07;Einheit_07;Zutat_08;Menge_08;Einheit_08;Schritt_01;Schritt_02;Schritt_03;Schritt_04;Schritt_05
Brotzeitbrett: belegte Brote;Snack;leicht;15;Kalt zubereiten;variabel;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Gemüse-Sticks mit Dip;Snack;leicht;15;Kalt zubereiten;vegan möglich;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Käsetoast;Snack;leicht;15;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Baked Beans auf Toast;Snack;leicht;20;Erwärmen;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Energy Balls (Hafer-Dattel);Snack;leicht;20;Kalt zubereiten;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Käse-Gemüse-Toasties;Snack;leicht;20;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Toast Hawaii;Snack;leicht;20;Backen;mit Fleisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Tomaten-Mozzarella-Toast;Snack;leicht;20;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Bruschetta;Snack;leicht;25;Rösten;vegetarisch;4;Baguette;1;Stück;Tomaten;500;g;Knoblauch;1;Zehe;Basilikum;1;Bund;Balsamico;2;EL;;;;;;;;;;Brot rösten.;Belag mischen.;Belegen.;;
Ofen-Nachos mit Käse;Snack;leicht;25;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Quesadillas mit Käse;Snack;leicht;25;Braten;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Wrap-Pizza (auf Tortilla);Snack;leicht;25;Backen;vegetarisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Wraps mit Rührei;Snack;leicht;25;Braten;vegetarisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Wraps mit Thunfisch;Snack;leicht;25;Kalt zubereiten;mit Fisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Hot Dogs (Schulversion);Snack;leicht;30;Erwärmen;mit Fleisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Mini-Pizzen (Tortilla);Snack;leicht;30;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Nachos mit Bohnen (vegan);Snack;leicht;30;Backen;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Pita-Pizza;Snack;leicht;30;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Wraps mit Gemüse und Joghurt-Dip;Snack;leicht;30;Kalt zubereiten;vegetarisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Quesadillas mit Bohnen;Snack;leicht;35;Braten;vegan möglich;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Wraps mit Hähnchen;Snack;leicht;35;Braten;mit Fleisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Club-Sandwich (Schulversion);Snack;mittel;35;Kalt zubereiten;mit Fleisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Pizzabrötchen;Snack;leicht;45;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Wraps mit Falafel;Snack;mittel;55;Zusammenstellen;vegetarisch;4;Wraps;8;Stück;Salat;150;g;Gemüse;500;g;Hummus oder Joghurt-Dip;300;g;;;;;;;;;;;;;Schneiden.;Belegen.;Einrollen.;;
Caprese (Tomate-Mozzarella);Salat;leicht;15;Kalt zubereiten;vegetarisch;4;Tomaten;500;g;Mozzarella;250;g;Basilikum;1;Bund;Balsamico;2;EL;;;;;;;;;;;;;Tomaten und Mozzarella schneiden.;Anrichten.;Basilikum darüber.;Mit Balsamico servieren.;
Gurkensalat;Salat;leicht;15;Kalt zubereiten;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Karottensalat mit Zitrone;Salat;leicht;15;Kalt zubereiten;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Bohnensalat;Salat;leicht;20;Kalt zubereiten;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Bunter Blattsalat mit Dressing;Salat;leicht;20;Kalt zubereiten;vegan möglich;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Eiersalat;Salat;leicht;20;Kalt zubereiten;vegetarisch;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Griechischer Salat;Salat;leicht;20;Kalt zubereiten;vegetarisch;4;Gurke;1;Stück;Tomaten;400;g;Paprika;1;Stück;Feta;200;g;Oliven;80;g;Zwiebel;1;Stück;Zitrone;1;Stück;;;;Gemüse schneiden.;Mischen.;Feta zugeben.;Mit Zitrone abschmecken.;
Thunfischsalat;Salat;leicht;20;Kalt zubereiten;mit Fisch;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Kichererbsensalat;Salat;leicht;25;Kalt zubereiten;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Krautsalat (Coleslaw light);Salat;leicht;25;Kalt zubereiten;vegetarisch;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Couscous-Salat;Salat;leicht;30;Quellen lassen;vegan;4;Couscous;250;g;Paprika;2;Stück;Gurke;1;Stück;Tomaten;300;g;Zitrone;1;Stück;Petersilie;1;Bund;;;;;;;Couscous quellen lassen.;Gemüse würfeln.;Mischen.;Zitrone und Kräuter zugeben.;
Bulgur-Salat (Taboulé);Salat;leicht;35;Kalt zubereiten;vegan;4;Bulgur;250;g;Tomaten;300;g;Gurke;1;Stück;Petersilie;2;Bund;Zitrone;1;Stück;Frühlingszwiebeln;3;Stück;;;;;;;Bulgur garen/quellen.;Gemüse/Kräuter schneiden.;Mischen.;Mit Zitrone abschmecken.;
Caesar Salad (Schulversion);Salat;mittel;40;Kalt zubereiten;mit Fleisch möglich;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Lauwarmer Kartoffel-Gurkensalat;Salat;leicht;45;Kochen;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Nudelsalat (Essig-Öl);Salat;leicht;45;Kochen;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Nudelsalat (Pesto);Salat;leicht;45;Kochen;vegetarisch;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Kartoffelsalat (Essig-Öl);Salat;leicht;50;Kochen;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Reissalat;Salat;leicht;50;Kochen;vegan möglich;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Kartoffelsalat (Mayo);Salat;leicht;55;Kochen;vegetarisch;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Linsensalat;Salat;mittel;55;Kochen;vegan;4;Blattsalat;200;g;Gurke;1;Stück;Tomaten;300;g;Paprika;1;Stück;Essig;2;EL;Senf;1;TL;;;;;;;Salat waschen.;Gemüse schneiden.;Dressing rühren.;Mischen und servieren.;
Klassische Pfannensuppe (Gemüse + Nudeln);Suppe;leicht;45;Kochen;vegan möglich;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Möhrensuppe mit Ingwer;Suppe;leicht;45;Kochen;vegan;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Tomatensuppe;Suppe;leicht;45;Kochen;vegan möglich;4;Zwiebeln;2;Stück;Knoblauch;2;Zehe;Tomaten (Dose);800;g;Gemüsebrühe;1000;ml;Sahne (optional);150;ml;;;;;;;;;;Zwiebel/Knoblauch schneiden.;Anspeisen.;Tomaten+Brühe köcheln.;Pürieren, optional Sahne.;
Cremige Brokkolisuppe;Suppe;leicht;50;Kochen;vegetarisch;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Gemüsesuppe;Suppe;leicht;50;Kochen;vegan;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Kürbissuppe;Suppe;leicht;55;Kochen;vegan möglich;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Kartoffelsuppe;Suppe;leicht;60;Kochen;vegetarisch;4;Kartoffeln;800;g;Zwiebel;1;Stück;Karotten;2;Stück;Gemüsebrühe;1200;ml;Milch;200;ml;;;;;;;;;;Würfeln.;In Brühe weich kochen.;Pürieren.;Milch einrühren.;
Erbsensuppe (schnell);Suppe;mittel;70;Kochen;vegan möglich;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Käse-Lauch-Suppe (vegetarisch);Suppe;mittel;70;Kochen;vegetarisch;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Minestrone;Suppe;mittel;75;Kochen;vegan möglich;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Pizzasuppe (mild);Suppe;mittel;75;Kochen;mit Fleisch möglich;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Gulaschsuppe (Schulversion);Suppe;mittel;105;Kochen;mit Fleisch;4;Suppengemüse;600;g;Kartoffeln;400;g;Zwiebel;1;Stück;Gemüsebrühe;1200;ml;;;;;;;;;;;;;Gemüse würfeln.;Köcheln.;Optional pürieren.;Servieren.;
Bohnen-Chili (mild);Eintopf;leicht;60;Kochen;vegan;4;Kidneybohnen (Dose);480;g;Mais (Dose);280;g;Tomaten (Dose);800;g;Paprika;2;Stück;Zwiebel;1;Stück;;;;;;;;;;Schneiden.;Anbraten.;Köcheln.;Servieren.;
Linsensuppe (einfach);Eintopf;mittel;75;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Chili sin Carne;Eintopf;mittel;80;Kochen;vegan;4;Kidneybohnen (Dose);480;g;Mais (Dose);280;g;Tomaten (Dose);800;g;Paprika;2;Stück;Zwiebel;1;Stück;;;;;;;;;;Schneiden.;Anbraten.;Köcheln.;Servieren.;
Joghurt-Knoblauch-Dip;Dip;leicht;10;Rühren;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Kräuterquark;Dip;leicht;10;Rühren;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Guacamole;Dip;leicht;15;Kalt zubereiten;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Salsa (Tomate) ;Dip;leicht;15;Kalt zubereiten;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Tzatziki;Dip;leicht;15;Kalt zubereiten;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Hummus (klassisch);Dip;leicht;20;Pürieren;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Vinaigrette (Essig-Öl);Dressing;leicht;8;Rühren;vegan;4;Essig;3;EL;Senf;1;TL;Öl;6;EL;;;;;;;;;;;;;;;;Verrühren.;Abschmecken.;Über Salat geben.;;
Honig-Senf-Dressing;Dressing;leicht;10;Rühren;vegetarisch;4;Essig;3;EL;Senf;1;TL;Honig;2;EL;Öl;6;EL;;;;;;;;;;;;;Verrühren.;Abschmecken.;Über Salat geben.;;
Béchamelsauce (Basis);Sauce;mittel;20;Kochen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Tomatensauce (Basis);Sauce;leicht;35;Kochen;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Knoblauchbrot;Beilage;leicht;20;Backen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Kartoffelpüree;Beilage;leicht;35;Kochen;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Bratkartoffeln;Beilage;mittel;45;Braten;vegan möglich;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Rösti;Beilage;mittel;50;Braten;vegetarisch;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Kartoffelspalten (Wedges);Beilage;leicht;55;Backen;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Ofengemüse (Blech) mit Kräutern;Beilage;leicht;55;Backen;vegan;4;Brot/Brötchen;8;Stück;Käse;200;g;Tomaten;300;g;Gurke;1;Stück;;;;;;;;;;;;;Vorbereiten.;Belegen.;Servieren.;;
Pasta mit Pesto (Basilikum);Pasta;leicht;25;Kochen;vegetarisch;4;Nudeln;400;g;Pesto;150;g;Parmesan (optional);50;g;;;;;;;;;;;;;;;;Nudeln kochen.;Mit Pesto mischen.;Optional Parmesan.;;
Spaghetti aglio e olio;Pasta;leicht;25;Kochen;vegan;4;Nudeln;400;g;Olivenöl;6;EL;Knoblauch;3;Zehe;Petersilie;1;Bund;;;;;;;;;;;;;Nudeln kochen.;Knoblauch/Petersilie vorbereiten.;Knoblauch in Öl kurz erwärmen.;Mit Nudeln mischen.;
Pasta mit Zitronen-Ricotta;Pasta;leicht;30;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Tomaten-Mozzarella-Pasta;Pasta;leicht;30;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Tortellini in Sahnesauce;Pasta;leicht;30;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Pasta mit Spinat und Frischkäse;Pasta;leicht;35;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Pasta mit Thunfisch-Tomatensauce;Pasta;leicht;35;Kochen;mit Fisch;4;Nudeln;400;g;Thunfisch (Dose);2;Dose;Tomaten (Dose);800;g;Zwiebel;1;Stück;;;;;;;;;;;;;Nudeln kochen.;Sauce kochen.;Thunfisch zugeben.;Mischen.;
Nudeln mit Erdnusssauce;Pasta;mittel;35;Kochen;vegan möglich;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Pasta Alfredo (einfach);Pasta;mittel;35;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Spaghetti Carbonara (Schulversion);Pasta;mittel;35;Kochen;mit Fleisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Spaghetti Napoli (Tomatensauce);Pasta;leicht;40;Kochen;vegan möglich;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Pasta Primavera;Pasta;leicht;45;Kochen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Pasta mit Gemüse-Tomatensauce;Pasta;leicht;50;Kochen;vegan;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Bolognese (Hack) mit Spaghetti;Pasta;mittel;65;Kochen;mit Fleisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
